first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id
Petr,Cech,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.4,49,1
Bernd,Leno,0,0,22,765,11,0,207.8,0,1,140,20.8,0,0,0,1.8,48,2
Laurent,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,54,3
Héctor,Bellerín,0,4,42,1305,19,172.9,218.4,271,3,237,66.1,2,0,3,10.7,54,4
Nacho,Monreal,1,1,30,630,8,75.1,149.2,161,2,124,38.5,2,0,1,0.9,54,5
Rob,Holding,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.9,44,6
Shkodran,Mustafi,2,0,42,1330,20,49.5,427,165,2,256,64.3,2,0,4,1.4,54,7
Sead,Kolasinac,0,2,17,425,7,149.3,65,62,3,85,27.4,0,0,0,0.9,49,8
Calum,Chambers,0,0,9,696,15,52,185.6,169,0,98,40.8,0,0,2,0.9,42,9
Konstantinos,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,47,10
Stephan,Lichtsteiner,0,0,4,214,4,20.6,30.8,3,0,13,5.4,0,0,1,0.9,45,11
Sokratis,Papastathopoulos,0,0,8,758,14,12.8,147.2,11,0,108,17.2,0,0,4,1.1,51,12
Mesut,Özil,3,1,46,820,11,306,224,107,7,180,63.8,2,0,1,3.5,82,13
Aaron,Ramsey,1,6,47,650,7,247.1,228.8,210,1,163,68.7,3,0,0,1.3,73,14
Alex,Iwobi,1,3,32,670,12,145.1,146.8,220,0,126,51,0,0,0,1.2,55,15
Mohamed,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,43,16
Granit,Xhaka,2,2,42,1194,17,275.6,317.4,79,2,208,67.4,2,0,5,3,53,17
Henrikh,Mkhitaryan,2,1,36,703,14,204.3,162.6,290,4,127,65.8,0,0,0,5.1,67,18
Reiss,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,19
Ainsley,Maitland-Niles,0,0,1,34,1,10.3,10.8,0,0,7,2.1,0,0,0,0.2,44,20
Danny,Welbeck,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.5,65,21
Alexandre,Lacazette,6,5,71,965,12,189.4,358.4,496,10,239,104,2,0,1,9.2,96,22
Pierre-Emerick,Aubameyang,10,3,93,1120,16,204.3,437.8,453,16,348,109.3,3,0,0,26.8,112,23
Asmir,Begovic,0,0,48,1350,22,0,324.6,0,2,255,32.6,4,0,0,4,45,24
Artur,Boruc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,40,25
Simon,Francis,0,2,34,1002,17,137.9,290,35,0,203,46.2,3,0,1,0.5,44,26
Steve,Cook,1,1,48,1350,22,26.8,409,117,3,280,55.3,4,0,1,8.3,46,27
Charlie,Daniels,0,0,19,690,10,123.5,148.6,55,0,129,32.6,2,0,2,4.4,42,28
Adam,Smith,1,0,37,965,12,70.2,172.4,51,0,184,29.4,4,1,1,0.6,44,29
Tyrone,Mings,0,0,2,91,3,0.4,34.4,0,0,23,3.5,0,0,0,0.1,43,30
Nathan,Aké,1,0,46,1350,22,13,403.2,161,4,263,57.7,4,0,1,4.8,50,31
Jack,Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,39,32
Harry,Arter,0,0,20,986,21,84.5,100.8,66,0,91,25.2,2,0,5,0.2,49,33
Marc,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,43,34
Andrew,Surman,0,0,12,448,11,56.6,62,15,0,63,13.4,1,0,1,0.2,46,35
Junior,Stanislas,1,1,20,227,3,90.9,84.6,97,3,64,27.3,0,0,1,0.1,60,36
Dan,Gosling,0,0,16,656,10,86.2,116.4,54,0,79,25.5,1,0,3,0.1,48,37
Jordon,Ibe,0,0,6,146,5,74.6,18.6,54,0,13,14.7,0,0,0,0.2,50,38
Lewis,Cook,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.2,48,39
Ryan,Fraser,4,7,86,1269,20,520.3,420.6,281,12,337,122.3,4,0,1,27.1,62,40
Emerson,Hyndman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,41
David,Brooks,3,1,48,964,15,181.4,226.4,321,2,152,73,4,0,1,3.3,52,42
Callum,Wilson,8,8,92,1321,20,250.3,409,636,11,290,129.3,4,0,3,39,70,43
Lys,Mousset,0,0,6,33,3,2.2,0.4,4,0,13,0.6,0,0,1,0.2,49,44
Joshua,King,5,1,55,1034,15,179.9,245.4,333,9,178,75.3,4,0,1,2.7,63,45
Jermain,Defoe,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4,56,46
Mathew,Ryan,0,0,55,1350,21,0,368.6,0,7,269,36.8,3,0,0,5.9,46,47
Lewis,Dunk,2,0,47,1189,18,36.6,350.8,90,5,239,47.8,3,0,2,4.7,45,48
Shane,Duffy,3,2,56,1287,21,47.4,496.2,151,5,264,69.5,3,1,3,7.3,47,49
Bruno,Saltor Grau,0,1,29,529,5,62.5,91,14,4,119,16.8,3,0,2,0.7,44,50
Gaëtan,Bong,0,0,28,1054,18,58.9,123.2,0,0,155,18.1,3,0,0,0.2,45,51
Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,52
Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,38,53
Leon,Balogun,1,0,9,231,4,0.7,79.6,21,0,40,10.1,0,0,2,0.1,42,54
Anthony,Knockaert,1,4,40,916,17,252,215,197,1,151,66.4,2,0,3,0.9,55,55
Dale,Stephens,0,0,14,773,14,33.9,127,11,0,95,17.2,2,1,3,3.9,44,56
Beram,Kayal,1,1,25,688,11,52.9,180.6,47,0,104,28.1,3,0,4,1,44,57
Solomon,March,0,5,50,1097,18,264.1,195.6,148,4,168,60.9,3,0,0,1.3,50,58
Pascal,Groß,1,0,16,418,6,176.7,112.6,82,3,68,37.1,0,0,0,1.6,67,59
Davy,Pröpper,0,0,22,962,16,67.7,134,23,0,114,22.6,1,0,1,0.1,48,60
José Heriberto,Izquierdo Mena,0,2,22,565,6,60.5,58.8,140,0,67,26,2,0,1,0.1,59,61
Glenn,Murray,8,0,67,1037,15,86.3,281.8,344,11,202,70.5,2,0,2,5.8,67,62
Tomer,Hemed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,63
Sam,Baldock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,64
Jürgen,Locadia,0,0,10,208,3,62.2,17,84,0,24,16,1,0,1,0.1,53,65
Florin,Andone,2,0,16,181,3,2.9,74,88,2,56,16.5,0,0,0,0.2,50,66
Tom,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,48,67
Nick,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,49,68
Matthew,Lowton,0,0,21,1080,26,89.5,203.2,28,0,180,32.2,3,0,4,0.3,47,69
Ben,Mee,0,2,33,1350,32,52.8,403,70,2,242,52.5,3,0,2,2.1,47,70
Stephen,Ward,0,0,7,228,6,17.2,48.4,19,0,44,8.5,1,0,1,0.6,47,71
James,Tarkowski,2,0,30,1016,27,16.1,407.6,113,1,188,53.8,2,0,3,4.1,47,72
Kevin,Long,0,0,10,333,5,1,103,6,0,71,11.1,1,0,0,0.4,42,73
Charlie,Taylor,0,0,25,1170,28,115,253,15,1,193,38.4,2,0,1,0.3,44,74
Phil,Bardsley,0,0,2,270,6,29.8,47,3,0,33,8,0,0,2,0.1,42,75
Johann Berg,Gudmundsson,2,5,56,1068,25,278.4,277,207,5,196,76.3,3,0,2,2.7,59,76
Steven,Defour,0,0,10,449,14,36.6,61.4,0,0,70,9.9,0,0,0,0,54,77
Jeff,Hendrick,1,0,22,673,20,68.6,81.6,143,0,83,29.3,1,0,2,0.1,53,78
Robbie,Brady,0,1,10,327,11,90.7,59.6,31,0,47,18.2,0,0,2,0,54,79
Ashley,Westwood,0,3,30,841,21,156.1,177.8,81,0,152,41.8,2,0,2,1.7,45,80
Jonathan,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,81
Jack,Cork,1,0,33,1242,27,127.3,192,92,0,177,41.3,3,0,3,0.4,46,82
Aaron,Lennon,1,1,38,1106,21,106.8,140.2,106,2,122,35.2,3,0,1,0.9,50,83
Sam,Vokes,3,0,42,817,15,105.8,151,284,7,116,53.2,2,0,0,1.8,53,84
Ashley,Barnes,2,1,29,383,8,43.7,89.8,138,3,82,26.6,1,0,1,0.3,56,85
Nahki,Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,86
Chris,Wood,1,0,27,780,21,59.2,71,257,0,57,38.3,2,0,0,0.2,62,87
Neil,Etheridge,0,0,52,1350,30,0,480.8,0,3,293,48,2,0,1,5.6,45,88
Alex,Smithies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,89
Sean,Morrison,0,4,40,1329,30,139.3,310,245,2,214,69.4,2,0,1,0.4,47,90
Sol,Bamba,2,1,44,1260,25,24.4,408.4,192,4,225,62.5,2,0,2,1.3,45,91
Bruno,Ecuele Manga,0,1,30,1350,30,90.8,277,27,0,215,39.7,2,0,0,0.1,44,92
Matthew,Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,38,93
Joe,Bennett,0,1,25,900,20,131.8,179,15,2,158,32.6,2,0,0,0.6,45,94
Lee,Peltier,0,0,1,160,5,6.5,20.6,0,0,15,2.7,0,0,1,2.8,38,95
