first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Petr,Cech,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.1,48,Petr,Cech,1
Bernd,Leno,0,0,67,1935,29,0,531.6,0,3,382,53.1,3,0,0,2.5,48,Bernd,Leno,2
Laurent,Koscielny,3,0,42,778,12,5.3,322.4,97,5,199,42.4,1,0,1,0.8,54,Laurent,Koscielny,3
Héctor,Bellerín,0,5,60,1532,21,197.8,261.6,280,5,304,73.7,4,0,3,4.7,54,Héctor,Bellerín,4
Nacho,Monreal,1,3,47,1140,17,121.3,282.2,167,4,230,57,2,0,2,0.9,54,Nacho,Monreal,5
Rob,Holding,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.4,43,Rob,Holding,6
Shkodran,Mustafi,2,0,58,1891,30,54.2,546.6,191,2,359,79.5,4,0,6,1,54,Shkodran,Mustafi,7
Sead,Kolasinac,0,7,66,1436,22,378.1,277.4,203,10,321,85.7,3,0,3,7.3,51,Sead,Kolasinac,8
Calum,Chambers,1,0,34,1686,34,143.2,414.6,296,0,275,85.6,2,0,5,0.9,42,Calum,Chambers,9
Konstantinos,Mavropanos,0,0,1,11,0,0.1,3.4,0,0,4,0.4,0,0,0,0.1,47,Konstantinos,Mavropanos,10
Stephan,Lichtsteiner,0,0,11,769,16,45.6,96.4,19,0,68,16.3,0,0,2,0.8,45,Stephan,Lichtsteiner,11
Sokratis,Papastathopoulos,0,2,41,1568,24,53.3,353.6,43,3,282,45.2,3,0,8,1.1,51,Sokratis,Papastathopoulos,12
Mesut,Özil,4,3,69,1167,15,469.5,319.6,170,9,275,95.9,3,0,1,2.4,79,Mesut,Özil,13
Aaron,Ramsey,2,6,65,980,13,314,293,374,1,212,98.3,5,0,0,0.9,71,Aaron,Ramsey,14
Alex,Iwobi,3,6,74,1429,25,371.4,331,410,1,279,111.1,2,0,0,1.8,54,Alex,Iwobi,15
Mohamed,Elneny,0,0,4,152,1,16.8,38.4,51,0,13,10.6,0,0,0,2.3,42,Mohamed,Elneny,16
Granit,Xhaka,3,2,68,1972,29,488.7,507.4,165,5,360,116.3,5,0,7,2.3,52,Granit,Xhaka,17
Henrikh,Mkhitaryan,6,4,84,1066,18,326.3,376.4,412,12,286,111.6,2,0,0,5,67,Henrikh,Mkhitaryan,18
Reiss,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,Reiss,Nelson,19
Ainsley,Maitland-Niles,1,1,24,521,11,70.9,147,92,3,101,31,0,0,1,0.4,44,Ainsley,Maitland-Niles,20
Danny,Welbeck,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.5,64,Danny,Welbeck,21
Alexandre,Lacazette,12,8,134,1829,22,341.9,684.2,928,19,471,195,4,0,2,11,95,Alexandre,Lacazette,22
Pierre-Emerick,Aubameyang,16,6,158,2085,33,369.9,729.6,1011,25,573,210.9,5,0,0,24.4,110,Pierre-Emerick,Aubameyang,23
Asmir,Begovic,0,0,61,1980,42,0,421,0,4,348,42.2,5,0,0,3.1,43,Asmir,Begovic,24
Artur,Boruc,0,0,22,540,11,0,146.2,0,2,106,14.7,2,0,1,8.3,40,Artur,Boruc,25
Simon,Francis,0,2,40,1227,24,173.3,332.4,39,0,244,54.4,4,0,1,0.2,43,Simon,Francis,26
Steve,Cook,1,1,70,2340,47,109.2,627,279,5,453,101.4,7,0,2,5.6,44,Steve,Cook,27
Charlie,Daniels,1,0,34,1258,30,190.8,244.4,144,0,220,58,3,0,3,3.7,41,Charlie,Daniels,28
Adam,Smith,1,0,51,1574,24,132.3,259,100,0,273,49.2,6,1,4,0.5,43,Adam,Smith,29
Tyrone,Mings,0,0,5,141,4,16.3,49,2,0,41,6.8,0,0,0,0.1,42,Tyrone,Mings,30
Nathan,Aké,3,0,84,2511,53,41.5,720.4,313,6,504,107.5,7,0,2,5.1,50,Nathan,Aké,31
Jack,Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,38,Jack,Simpson,32
Harry,Arter,0,0,40,1757,38,149.6,179.6,142,0,194,47.2,5,0,7,0.2,49,Harry,Arter,33
Marc,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,43,Marc,Pugh,34
Andrew,Surman,0,0,31,1258,36,158.9,160.4,36,0,183,35.6,3,0,2,0.2,46,Andrew,Surman,35
Junior,Stanislas,1,3,47,957,23,250.6,187.8,312,3,176,75.1,2,0,1,0.1,60,Junior,Stanislas,36
Dan,Gosling,0,2,38,1354,26,115.3,251.8,155,0,172,52.1,3,0,5,0.1,47,Dan,Gosling,37
Jordon,Ibe,0,1,21,563,18,149.9,71.8,116,0,66,33.7,0,0,0,0.2,50,Jordon,Ibe,38
Lewis,Cook,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.1,47,Lewis,Cook,39
Ryan,Fraser,5,9,126,2288,48,929.3,645,483,15,528,206.1,6,0,1,20.3,61,Ryan,Fraser,40
Emerson,Hyndman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Emerson,Hyndman,41
David,Brooks,6,4,94,1585,29,330.2,457,522,6,289,131,7,0,2,2.8,50,David,Brooks,42
Callum,Wilson,10,8,114,1726,31,314.8,490.2,753,14,367,155.5,6,0,3,10.4,63,Callum,Wilson,43
Lys,Mousset,1,0,23,286,14,53.5,58.2,106,0,69,21.5,0,0,1,0.2,49,Lys,Mousset,44
Joshua,King,9,3,107,2125,41,415.5,514.4,803,17,357,172.9,7,0,2,6.1,64,Joshua,King,45
Jermain,Defoe,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4,56,Jermain,Defoe,46
Mathew,Ryan,0,0,71,2070,36,0,473.6,0,7,368,47.4,4,0,1,2.9,44,Mathew,Ryan,47
Lewis,Dunk,2,0,64,2161,37,74.4,564,166,5,399,80.8,5,1,4,2.2,44,Lewis,Dunk,48
Shane,Duffy,5,2,88,2097,36,50.5,727.2,382,6,411,116.1,5,1,4,5.8,47,Shane,Duffy,49
Bruno,Saltor Grau,0,1,31,619,6,65.3,104.4,14,4,132,18.4,3,0,2,0.3,44,Bruno,Saltor Grau,50
Gaëtan,Bong,0,0,41,1625,31,151.1,201.4,8,0,226,35.9,4,0,0,0.1,44,Gaëtan,Bong,51
Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,38,Markus,Suttner,52
Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,38,Ezequiel,Schelotto,53
Leon,Balogun,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1,42,Leon,Balogun,54
Anthony,Knockaert,1,5,55,1289,27,371.7,278.2,277,1,209,92.7,2,0,3,0.5,52,Anthony,Knockaert,55
Dale,Stephens,1,0,40,1584,31,122.8,277.4,46,2,235,44.5,3,1,4,3,44,Dale,Stephens,56
