first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Petr,Cech,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.1,47,Petr,Cech,1
Bernd,Leno,0,0,87,2295,31,0,633.8,0,5,465,63.2,5,0,0,3.3,49,Bernd,Leno,2
Laurent,Koscielny,3,0,50,958,13,15.7,361.8,99,5,234,47.6,2,0,1,0.8,54,Laurent,Koscielny,3
Héctor,Bellerín,0,5,60,1532,21,197.8,261.6,280,5,304,73.7,4,0,3,4.6,53,Héctor,Bellerín,4
Nacho,Monreal,1,3,61,1500,19,143.5,355,171,4,312,67,4,0,4,1,54,Nacho,Monreal,5
Rob,Holding,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.4,43,Rob,Holding,6
Shkodran,Mustafi,2,0,69,2161,32,70.2,617.6,197,4,411,88.7,5,0,7,1,54,Shkodran,Mustafi,7
Sead,Kolasinac,0,7,77,1661,23,408,296.6,221,10,361,92.5,5,0,5,6.8,50,Sead,Kolasinac,8
Calum,Chambers,2,0,42,2136,47,150.3,529.4,335,0,347,101.7,2,0,7,0.9,42,Calum,Chambers,9
Konstantinos,Mavropanos,0,0,1,11,0,0.1,3.4,0,0,4,0.4,0,0,0,0.1,47,Konstantinos,Mavropanos,10
Stephan,Lichtsteiner,0,0,11,769,16,45.6,96.4,19,0,68,16.3,0,0,2,0.8,45,Stephan,Lichtsteiner,11
Sokratis,Papastathopoulos,0,2,55,1928,26,64.3,432.4,83,3,359,58.2,5,0,10,1.2,51,Sokratis,Papastathopoulos,12
Mesut,Özil,4,3,78,1417,17,563.5,346.8,192,9,312,110.4,5,0,1,2.7,79,Mesut,Özil,13
Aaron,Ramsey,4,6,88,1252,13,355.3,404.4,463,4,284,122.5,8,0,0,1.2,71,Aaron,Ramsey,14
Alex,Iwobi,3,6,81,1608,26,411.1,363,459,1,311,123.3,3,0,0,1.6,54,Alex,Iwobi,15
