first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Petr,Cech,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.1,47,Petr,Cech,1
Bernd,Leno,0,0,93,2385,31,0,650.2,0,5,489,64.8,6,0,0,3.6,49,Bernd,Leno,2
Laurent,Koscielny,3,0,59,1048,13,16,386.2,99,8,264,50.1,3,0,1,0.9,54,Laurent,Koscielny,3
Héctor,Bellerín,0,5,60,1532,21,197.8,261.6,280,5,304,73.7,4,0,3,4.5,53,Héctor,Bellerín,4
Nacho,Monreal,1,3,69,1590,19,157,373.4,175,6,340,70.6,5,0,4,1.3,54,Nacho,Monreal,5
Rob,Holding,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.4,43,Rob,Holding,6
Shkodran,Mustafi,2,0,76,2251,32,73.2,633.8,201,5,437,91,6,0,7,1.2,54,Shkodran,Mustafi,7
Sead,Kolasinac,0,7,77,1661,23,408,296.6,221,10,361,92.5,5,0,5,7,50,Sead,Kolasinac,8
Calum,Chambers,2,0,48,2226,47,162.1,545.2,343,0,362,105.3,3,0,7,0.9,42,Calum,Chambers,9
Konstantinos,Mavropanos,0,0,2,69,0,1,18.2,2,0,17,2.2,0,0,0,0.1,47,Konstantinos,Mavropanos,10
Stephan,Lichtsteiner,0,0,11,769,16,45.6,96.4,19,0,68,16.3,0,0,2,0.8,45,Stephan,Lichtsteiner,11
Sokratis,Papastathopoulos,0,2,55,1928,26,64.3,432.4,83,3,359,58.2,5,0,10,1.1,51,Sokratis,Papastathopoulos,12
Mesut,Özil,4,3,79,1462,17,591.8,352.8,218,9,315,116.4,5,0,1,2.7,79,Mesut,Özil,13
Aaron,Ramsey,4,6,91,1319,13,387.2,418.4,502,4,298,131,9,0,0,1.7,71,Aaron,Ramsey,14
Alex,Iwobi,3,6,84,1698,26,500.4,394.4,524,1,329,141.9,4,0,0,1.6,54,Alex,Iwobi,15
Mohamed,Elneny,0,0,6,220,2,32.3,48.4,51,0,25,13.2,0,0,0,2.3,42,Mohamed,Elneny,16
Granit,Xhaka,4,2,83,2242,30,565.3,580.2,189,8,414,133.7,7,0,8,2.2,52,Granit,Xhaka,17
Henrikh,Mkhitaryan,6,4,91,1342,20,385.9,402.6,497,12,317,128.6,3,0,1,5,67,Henrikh,Mkhitaryan,18
Reiss,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,Reiss,Nelson,19
Ainsley,Maitland-Niles,1,1,33,813,12,90.5,198.4,118,3,132,40.6,2,0,1,0.4,44,Ainsley,Maitland-Niles,20
Danny,Welbeck,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.4,64,Danny,Welbeck,21
Alexandre,Lacazette,13,11,155,2149,23,412.7,762.6,1067,20,525,223.9,6,0,2,11.6,94,Alexandre,Lacazette,22
Pierre-Emerick,Aubameyang,18,7,175,2362,34,413.6,823,1244,26,635,247.9,7,0,0,19.7,109,Pierre-Emerick,Aubameyang,23
Asmir,Begovic,0,0,63,2160,47,0,440.6,0,4,363,44.2,5,0,0,2.9,43,Asmir,Begovic,24
Artur,Boruc,0,0,41,900,14,0,236.2,0,4,187,23.7,4,0,2,8.8,41,Artur,Boruc,25
Simon,Francis,0,2,40,1227,24,173.3,332.4,39,0,244,54.4,4,0,1,0.2,43,Simon,Francis,26
Steve,Cook,1,1,76,2426,47,109.2,648.2,286,5,480,104.2,8,0,2,4,43,Steve,Cook,27
Charlie,Daniels,1,0,44,1583,34,215.4,289.8,156,1,278,66.2,4,0,4,3.7,41,Charlie,Daniels,28
Adam,Smith,1,0,60,1887,28,139.3,307.8,106,0,319,55.4,7,1,5,0.5,43,Adam,Smith,29
Tyrone,Mings,0,0,5,141,4,16.3,49,2,0,41,6.8,0,0,0,0.1,42,Tyrone,Mings,30
Nathan,Aké,3,1,103,3051,61,78.5,897.8,343,6,631,132,9,0,3,6.2,51,Nathan,Aké,31
Jack,Simpson,0,0,3,85,1,0.1,19.4,0,0,16,2,0,0,0,6.2,39,Jack,Simpson,32
Harry,Arter,0,1,48,1999,39,188.8,230.6,170,0,225,58.9,7,0,10,0.2,49,Harry,Arter,33
Marc,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,43,Marc,Pugh,34
Andrew,Surman,0,0,36,1438,37,163,190.8,38,0,206,39.2,4,0,2,0.1,46,Andrew,Surman,35
Junior,Stanislas,2,3,55,999,24,253.1,223.4,339,3,201,81.6,2,0,1,0.1,60,Junior,Stanislas,36
Dan,Gosling,1,2,47,1592,31,130.7,345.6,198,0,210,67.3,4,0,7,0.1,47,Dan,Gosling,37
Jordon,Ibe,0,1,23,644,19,151.8,76.2,118,0,75,34.5,0,0,1,0.2,50,Jordon,Ibe,38
Lewis,Cook,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.1,46,Lewis,Cook,39
Ryan,Fraser,7,12,163,2828,56,1138.2,830.4,547,20,673,251.9,8,0,2,22.5,63,Ryan,Fraser,40
Emerson,Hyndman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Emerson,Hyndman,41
David,Brooks,7,5,116,2083,37,434.5,566.6,596,7,378,159.9,9,0,3,4.9,51,David,Brooks,42
Callum,Wilson,12,11,146,2168,38,356.8,623.4,924,19,457,189.9,8,0,3,17.2,66,Callum,Wilson,43
Lys,Mousset,1,0,25,302,14,53.8,61.2,106,0,75,21.8,0,0,1,0.3,49,Lys,Mousset,44
Joshua,King,11,3,129,2633,48,491.4,605.8,929,20,424,201.6,9,0,3,6.6,66,Joshua,King,45
Jermain,Defoe,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4,56,Jermain,Defoe,46
Mathew,Ryan,0,0,85,2610,48,0,562.6,0,9,448,56.4,5,0,2,5.6,44,Mathew,Ryan,47
Lewis,Dunk,2,1,80,2701,49,121.6,683.6,194,6,498,100.3,6,1,4,4.1,44,Lewis,Dunk,48
Shane,Duffy,5,2,103,2637,48,73.5,887.6,457,9,511,142,6,1,4,10.7,48,Shane,Duffy,49
Bruno,Saltor Grau,0,1,33,799,11,78.5,130.8,14,4,165,22.3,3,0,2,0.3,44,Bruno,Saltor Grau,50
Gaëtan,Bong,0,0,42,1715,34,151.7,211.4,8,0,235,37,4,0,0,0.1,44,Gaëtan,Bong,51
Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,38,Markus,Suttner,52
Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,38,Ezequiel,Schelotto,53
Leon,Balogun,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1,42,Leon,Balogun,54
Anthony,Knockaert,2,6,70,1669,37,535.7,363.8,316,2,268,121.4,3,1,4,1,52,Anthony,Knockaert,55
Dale,Stephens,1,1,57,2124,43,220.9,416,76,4,348,71.3,4,1,5,3.2,43,Dale,Stephens,56
Beram,Kayal,1,1,28,712,11,53.7,189.4,49,0,117,29.3,3,0,4,0.3,44,Beram,Kayal,57
Solomon,March,1,5,84,2217,38,645.6,422.8,303,5,309,137.3,5,0,1,0.7,47,Solomon,March,58
Pascal,Groß,2,2,59,1414,24,662.9,329.6,292,9,263,128.6,2,0,0,1.5,67,Pascal,Groß,59
Davy,Pröpper,1,1,71,2537,45,279.1,389.2,121,3,348,79.2,4,0,2,0.3,48,Davy,Pröpper,60
José Heriberto,Izquierdo Mena,0,2,26,634,9,75.3,62.2,147,0,80,28.5,2,0,1,0.1,59,José Heriberto,Izquierdo Mena,61
Glenn,Murray,11,0,106,2151,39,147.3,400.8,721,13,272,124.7,3,0,5,5.1,64,Glenn,Murray,62
Tomer,Hemed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,Tomer,Hemed,63
Sam,Baldock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,Sam,Baldock,64
Jürgen,Locadia,2,0,49,1112,19,179.9,150,354,6,149,68,3,0,1,0.3,53,Jürgen,Locadia,65
Florin,Andone,3,0,35,724,12,46.9,136,353,2,78,52.8,1,0,3,0.2,50,Florin,Andone,66
Tom,Heaton,0,0,50,1350,19,20,309.8,4,4,256,33.3,4,0,1,0.6,48,Tom,Heaton,67
Nick,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,48,Nick,Pope,68
Matthew,Lowton,0,0,31,1388,33,105.4,252.4,28,1,228,38.7,4,0,5,0.2,46,Matthew,Lowton,69
Ben,Mee,0,2,78,3060,60,99.1,770.4,232,5,518,110.3,8,0,9,1.6,46,Ben,Mee,70
Stephen,Ward,0,0,7,228,6,17.2,48.4,19,0,44,8.5,1,0,1,0.5,47,Stephen,Ward,71
James,Tarkowski,3,2,94,2726,55,58.1,895.4,407,7,474,136.3,7,0,6,4.4,47,James,Tarkowski,72
Kevin,Long,0,1,16,513,9,11.6,147.8,8,0,101,16.8,1,0,0,0.3,41,Kevin,Long,73
Charlie,Taylor,0,1,77,2880,56,241.7,588.2,30,2,465,86.1,7,0,2,0.5,44,Charlie,Taylor,74
Phil,Bardsley,0,0,33,1670,27,139.6,267.8,66,0,224,47.4,4,0,9,0.2,42,Phil,Bardsley,75
Johann Berg,Gudmundsson,3,6,85,1635,36,546.4,414.2,364,6,314,132.6,5,0,2,1.1,55,Johann Berg,Gudmundsson,76
Steven,Defour,0,0,10,449,14,36.6,61.4,0,0,70,9.9,0,0,0,0,53,Steven,Defour,77
Jeff,Hendrick,1,2,61,1802,39,182.1,180.8,247,3,206,61,4,0,4,0.2,52,Jeff,Hendrick,78
Robbie,Brady,0,1,17,627,14,174.9,91.4,81,0,64,34.8,1,1,3,0,54,Robbie,Brady,79
Ashley,Westwood,2,8,104,2461,47,593.6,574.2,251,10,473,142.3,7,0,4,3.3,46,Ashley,Westwood,80
Jonathan,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Jonathan,Walters,81
Jack,Cork,1,2,80,2952,55,290,450,214,0,406,95.6,8,0,5,0.5,46,Jack,Cork,82
Aaron,Lennon,1,1,41,1214,22,121.2,151.6,108,2,133,38,3,0,1,0.3,49,Aaron,Lennon,83
