name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,points_per_game,winning_goals,yellow_cards,first_name,second_name,t_goals_scored,t_assists,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,gw16_pts,dream_team
Mohamed_Salah_253,1,8,1,0,0,14,0,0,7,35.3,0,0,253,0,0,143,0,0,0,12,28.4,3,0,0,25,1,0,4,0,0,0,0,1,0,0,2077373,3,0,0,3,1,56,4,-46474,25877,72351,130,FALSE,6,0,0,Mohamed,Salah,0.466666667,5,1215,5,424.4,435.6,852,2,266,171.5,9,0,0,34.8,21,1
David_Luiz Moreira Marinho_116,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,148,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,366008,0,0,0,1,2,0,0,5137,14635,9498,56,FALSE,4.1,0,0,David,Luiz Moreira Marinho,0,0,1260,11,122.5,310.2,112,6,302,54.3,7,0,1,6.1,15,1
James_Tarkowski_72,0,23,0,0,0,15,0,8,14,0.2,0,0,72,0,0,143,0,3,0,5.5,35.8,0,0,0,90,0,0,12,0,0,0,0,4,0,0,244156,0,2,0,3,1,19,1,-8689,164,8853,47,TRUE,2.5,0,0,James,Tarkowski,0.133333333,0,1016,27,16.1,407.6,113,1,188,53.8,2,0,3,4.1,14,1
Marcus_Rashford_305,0,20,0,0,0,8,0,0,15,32.6,1,0,305,0,0,145,2,2,0,6,11.8,2,0,0,90,0,0,1,0,0,0,0,1,0,0,291210,1,1,0,2,2,16,2,4627,11751,7124,67,TRUE,2.7,0,0,Marcus,Rashford,0.133333333,3,670,10,170.9,173.2,180,1,109,52.1,2,1,2,5.1,14,1
Heung-Min_Son_367,0,31,0,0,1,28,0,1,25,26,0,0,367,0,0,150,0,1,1,12.4,39.6,2,0,0,90,0,0,16,0,0,0,0,6,0,0,166983,3,0,1,1,3,58,8,57213,61026,3813,83,TRUE,3.7,0,0,Heung-Min,Son,0.133333333,2,569,5,113.6,148.4,279,1,118,54.1,4,0,0,3.1,14,1
Juan_Mata_297,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65918,0,0,0,2,2,0,0,-3102,819,3921,62,TRUE,2.4,0,0,Juan,Mata,0.066666667,1,541,9,145.2,93,87,2,95,32.6,1,0,1,1.1,13,1
Ashley_Young_293,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67229,0,0,0,2,2,0,0,-7792,380,8172,57,TRUE,1.9,0,0,Ashley,Young,0,2,900,18,201.1,154.6,42,0,147,39.8,1,0,5,1.1,12,1
Felipe Anderson_Pereira Gomes_465,0,60,0,0,0,16,0,3,44,47.3,2,0,465,0,0,147,1,1,0,8.4,14.8,3,0,0,90,0,0,5,0,0,0,0,6,0,0,694223,1,1,0,1,3,22,2,279111,286094,6983,71,TRUE,4.4,0,0,Felipe Anderson,Pereira Gomes,0.333333333,1,1237,20,445.4,390.4,296,9,261,113.2,3,0,3,12,12,1
Andrew_Robertson_247,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,143,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1907187,0,0,0,3,1,0,0,-92037,26588,118625,65,FALSE,6.5,0,0,Andrew,Robertson,0,3,1170,4,243.2,263,126,13,346,63.4,9,0,0,31.7,11,1
Diogo_Jota_432,0,13,0,0,1,26,0,0,12,2.2,0,0,432,0,0,148,0,1,1,7.4,37.2,0,0,0,87,0,0,6,0,0,0,0,4,0,0,53071,2,0,0,1,2,35,8,-1369,117,1486,59,TRUE,2.4,1,0,Diogo,Jota,0.066666667,1,895,11,167.9,105,256,1,91,52.9,4,0,3,0.9,11,1
Lucas_Torreira_450,1,62,1,0,2,29,0,3,56,29.8,2,0,450,0,0,145,2,2,0,8.1,31.8,2,0,0,90,0,0,14,0,0,0,0,9,0,0,139796,0,1,0,2,2,19,6,38347,40875,2528,49,FALSE,2.7,0,1,Lucas,Torreira,0.066666667,3,1052,13,108.6,230.2,81,3,217,42.2,2,0,4,2.7,11,1
