name,lname,ID,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,assists,attempted_passes
Petr,Cech,1,0,0,0,0,0,0,0,0,0,0,1,0,0,151,0,0,0,0,8140,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,80100,0,0,0,0,1,0,0,-1317,604,1921,49,TRUE,0,0,0,0
Bernd,Leno,2,0,0,1,22,1,1,27,0,0,0,2,0,0,151,0,0,0,0.6,8141,6.4,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,10,0,0,0,0,7,0,16,0,124446,0,0,0,0,1,0,7,14441,16815,2374,48,TRUE,0,0,0,38
Laurent,Koscielny,3,0,0,0,0,0,0,0,0,0,0,3,0,0,151,0,0,0,0,8142,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,6103,0,0,0,0,1,0,0,85,195,110,54,TRUE,0,0,0,0
Héctor,Bellerín,4,0,0,0,21,1,1,35,5.7,1,0,4,0,0,151,0,0,0,1,8143,1.6,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,10,0,0,0,0,7,0,16,0,720517,1,0,1,0,1,3,6,86327,101165,14838,54,TRUE,0,0,0,46
Nacho,Monreal,5,0,0,0,3,0,1,14,0.4,0,0,5,0,0,151,1,0,0,0.4,8144,4,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,24,0,0,10,0,0,0,0,4,0,16,0,50340,0,0,0,0,1,0,1,-2299,265,2564,54,TRUE,0,0,0,15
Rob,Holding,6,0,0,0,0,0,0,0,0,0,0,6,0,0,151,0,0,0,0,8145,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,43793,0,0,0,0,1,0,0,-9837,2082,11919,44,TRUE,0,0,0,0
Shkodran,Mustafi,7,0,0,0,19,1,3,45,0.4,0,0,7,0,0,151,3,0,0,0.8,8146,7.6,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,65,0,0,10,0,0,0,0,2,0,16,0,116107,0,1,0,0,1,0,5,31413,33511,2098,54,TRUE,0,1,0,52
Sead,Kolasinac,8,0,0,2,24,1,1,20,15.6,0,0,8,0,0,151,0,0,0,3.7,8147,15.6,1,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,1,10,0,0,0,0,9,0,16,0,145750,3,2,0,0,1,6,8,98343,100371,2028,50,TRUE,0,0,0,30
Calum,Chambers,9,0,0,0,0,0,0,0,0,0,0,9,0,0,158,0,0,0,0,8148,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,51066,0,0,0,1,4,0,0,620,1570,950,42,FALSE,0,0,0,0
Konstantinos,Mavropanos,10,0,0,0,0,0,0,0,0,0,0,10,0,0,151,0,0,0,0,8149,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,5824,0,0,0,0,1,0,0,-52,20,72,47,TRUE,0,0,0,0
Stephan,Lichtsteiner,11,0,0,0,1,0,2,20,0.3,0,0,11,0,0,151,0,0,0,0.2,8150,1.4,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,45,0,0,10,0,0,0,0,2,0,16,0,51463,0,0,0,0,1,0,0,436,1078,642,45,TRUE,0,1,0,25
Sokratis,Papastathopoulos,12,0,0,1,22,1,7,57,1.5,0,0,12,0,0,151,2,0,0,2.3,8151,21.4,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,10,0,0,0,0,8,0,16,0,69304,0,0,0,0,1,0,6,3261,3946,685,51,TRUE,0,1,0,64
Mesut,Özil,13,0,0,0,0,0,0,0,0,0,0,13,0,0,151,0,0,0,0,8152,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,183661,0,0,0,0,1,0,0,-28646,740,29386,81,TRUE,0,0,0,0
Aaron,Ramsey,14,0,0,0,0,0,0,0,0,0,0,14,0,0,151,0,0,0,0,8153,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,69020,0,0,0,0,1,0,0,-4331,3883,8214,73,TRUE,0,0,0,0
Alex,Iwobi,15,0,0,0,-3,0,0,12,12.2,1,0,15,0,0,151,1,0,0,1.5,8154,3,1,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,45,0,0,10,0,0,0,0,2,0,16,0,72209,7,0,0,0,1,0,1,3395,7394,3999,55,TRUE,0,0,0,19
Mohamed,Elneny,16,0,0,0,0,0,0,0,0,0,0,16,0,0,151,0,0,0,0,8155,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,131417,0,0,0,0,1,0,0,-2747,630,3377,43,TRUE,0,0,0,0
Granit,Xhaka,17,2,0,0,19,1,7,68,28.6,0,0,17,0,0,151,2,0,0,7.1,8156,25.4,2,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,10,0,0,0,0,10,0,16,0,179057,1,1,1,0,1,17,2,-68,8871,8939,53,TRUE,0,1,0,85
Henrikh,Mkhitaryan,18,0,0,0,5,0,0,15,21,1,0,18,0,0,151,1,0,0,2.7,8157,0.8,1,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,45,0,0,10,0,0,0,0,4,0,16,0,312440,0,1,2,0,1,5,1,10214,17636,7422,67,TRUE,0,0,0,22
Reiss,Nelson,19,0,0,0,0,0,0,0,0,0,0,19,0,0,151,0,0,0,0,8158,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,26014,0,0,0,0,1,0,0,-209,1,210,44,TRUE,0,0,0,0
Ainsley,Maitland-Niles,20,0,0,0,0,0,0,0,0,0,0,20,0,0,151,0,0,0,0,8159,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,14280,0,0,0,0,1,0,0,-223,124,347,44,TRUE,0,0,0,0
Danny,Welbeck,21,0,0,0,0,0,0,0,0,0,0,21,0,0,151,0,0,0,0,8160,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,31422,0,0,0,0,1,0,0,-503,63,566,65,TRUE,0,0,0,0
Alexandre,Lacazette,22,0,1,0,-2,0,1,10,1.2,0,0,22,0,0,151,1,0,0,0.4,8161,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,45,1,0,10,0,0,0,0,3,0,16,0,659811,0,0,1,0,1,4,1,122304,150114,27810,96,TRUE,0,0,0,13
