assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,F_pts,in_dreamteam
0,30,0,0,0,10,0,4,19,0.6,0,0,0,0,1,0,1.2,11.2,0,0,0,90,0,0,13,0,0,0,0,8,0,0,151298,0,0,0,0,1,0,2,-1383,6083,7466,45,0,0,0,1,0,2.6,2205,33,134.5,425.8,158,5,418,71.7,4,0,2,2.5,15,1
0,24,0,1,3,44,0,0,18,2.8,0,0,0,1,1,2,12.4,61.2,0,0,0,90,0,0,7,0,0,0,0,2,0,0,234688,4,0,2,3,1,60,12,5966,7289,1323,107,0,1,1,10,1,3.7,1602,27,239.8,442.4,810,11,310,149.4,4,0,3,3.9,12,1
0,31,0,0,0,1,1,1,24,9.3,2,0,0,2,0,0,1.4,0.2,0,0,0,78,1,0,10,0,0,0,0,1,0,0,2224505,5,0,1,0,1,4,2,169150,185211,16061,69,0,0,0,10,7,4.8,2286,31,497.9,603.6,1067,22,450,216.6,8,0,3,35.8,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13098,0,0,0,3,1,0,0,953,1132,179,45,0,0,0,0,0,1.3,304,6,27.6,36,24,0,45,8.8,1,0,2,0.2,12,1
0,31,0,0,0,9,0,2,26,14,0,0,0,1,3,0,2.8,11,1,0,0,72,0,0,12,0,0,0,0,2,0,0,283965,1,0,1,0,5,3,2,823,14231,13408,59,0,0,0,7,3,3.6,2066,32,420.4,471.6,782,9,321,167.1,5,0,3,4.6,11,1
0,29,1,0,0,5,1,0,26,13.8,2,0,0,1,0,0,4.6,6.2,1,0,0,65,2,0,10,0,0,0,0,2,0,0,232452,4,0,0,0,1,26,3,2466,15729,13263,61,0,0,0,5,5,3.7,1540,20,291.1,320.2,535,6,242,114.7,6,0,7,3.7,11,1
0,29,0,0,0,7,0,1,24,0,0,0,1,0,2,0,0.2,1.8,0,0,0,90,0,0,6,0,0,0,0,8,0,0,344975,0,0,0,0,2,0,1,-16283,2050,18333,55,0,0,0,0,0,4.4,2160,24,0,620.6,0,7,506,62.1,9,0,0,5.5,10,1
0,24,0,0,0,9,0,0,17,0,0,0,0,0,2,0,1.1,11.2,0,0,0,90,0,0,11,0,0,0,0,4,0,1,179715,0,0,0,1,2,0,1,1277,3624,2347,44,0,0,0,0,0,3.1,2070,36,0,473.6,0,7,368,47.4,4,0,1,2.9,9,1
0,47,0,0,0,9,0,4,33,0.7,1,0,0,1,2,0,2.5,10.6,0,0,0,90,0,0,11,0,0,0,0,6,0,0,355776,0,0,3,1,2,14,1,31896,36806,4910,46,0,0,0,5,2,3.7,2097,36,50.5,727.2,382,6,411,116.1,5,1,4,5.8,9,1
0,27,0,0,0,1,0,0,21,13.5,5,0,0,1,3,0,6.4,10.8,1,0,0,90,1,0,14,0,0,0,0,4,0,0,730227,6,0,1,3,1,40,1,52767,58998,6231,67,1,0,1,7,5,3.8,2153,35,536.6,508,894,9,283,193.9,7,1,7,12,9,1
