name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Petr_Cech_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,323,0,0,0,0,18033,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,70804,0,0,0,0,1,0,0,-88,157,245,47,FALSE,0,0,Cech,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.1,47,Petr,Cech,1
Bernd_Leno_2,0,33,0,0,0,20,0,1,26,0,0,0,2,0,0,323,0,1,0,4.1,18034,41.4,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,90,0,0,8,0,0,0,0,9,0,33,5,201274,1,0,0,0,1,0,3,36103,38855,2752,48,FALSE,0,0,Leno,0,0,87,2295,31,0,633.8,0,5,465,63.2,5,0,0,3.3,49,Bernd,Leno,2
Laurent_Koscielny_3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,323,0,0,0,0,18035,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,52891,0,0,0,0,1,0,0,-5465,1180,6645,54,FALSE,0,0,Koscielny,3,0,50,958,13,15.7,361.8,99,5,234,47.6,2,0,1,0.8,54,Laurent,Koscielny,3
H�ctor_Beller�n_4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,323,0,0,0,0,18036,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,286476,0,0,0,0,1,0,0,-1110,46,1156,54,FALSE,0,0,Bellerín,0,5,60,1532,21,197.8,261.6,280,5,304,73.7,4,0,3,4.6,53,Héctor,Bellerín,4
Nacho_Monreal_5,0,48,0,0,0,13,0,4,41,6.3,1,0,5,0,0,323,1,1,0,2.8,18037,19.2,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,90,0,1,8,0,0,0,0,4,0,33,0,64014,0,1,0,0,1,2,1,8434,9253,819,54,FALSE,0,1,Monreal,1,3,61,1500,19,143.5,355,171,4,312,67,4,0,4,1,54,Nacho,Monreal,5
Rob_Holding_6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,323,0,0,0,0,18038,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,24883,0,0,0,0,1,0,0,-69,23,92,43,FALSE,0,0,Holding,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.4,43,Rob,Holding,6
Shkodran_Mustafi_7,0,81,0,0,0,18,0,7,62,13.6,0,0,7,0,0,323,1,1,0,5.4,18039,34.8,1,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,90,0,0,8,0,0,0,0,10,0,33,0,65502,1,4,0,0,1,6,1,2957,3413,456,54,FALSE,0,1,Mustafi,2,0,69,2161,32,70.2,617.6,197,4,411,88.7,5,0,7,1,54,Shkodran,Mustafi,7
Sead_Kolasinac_8,0,13,0,0,0,2,0,1,7,0.8,1,0,8,0,0,323,0,1,0,1.1,18040,7.8,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,45,0,0,8,0,0,0,0,2,0,33,0,412887,2,0,0,0,1,2,1,49357,54290,4933,50,FALSE,0,0,Kolasinac,0,7,77,1661,23,408,296.6,221,10,361,92.5,5,0,5,6.8,50,Sead,Kolasinac,8
Konstantinos_Mavropanos_10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,323,0,0,0,0,18041,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,6610,0,0,0,0,1,0,0,-66,18,84,47,FALSE,0,0,Chambers,2,0,42,2136,47,150.3,529.4,335,0,347,101.7,2,0,7,0.9,42,Calum,Chambers,9
Stephan_Lichtsteiner_11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,323,0,0,0,0,18042,0,0,2019-04-07T13:05:00Z,4/7/2019 14:05,0,0,0,0,0,8,0,0,0,0,0,0,33,0,51701,0,0,0,0,1,0,0,-118,168,286,45,FALSE,0,0,Mavropanos,0,0,1,11,0,0.1,3.4,0,0,4,0.4,0,0,0,0.1,47,Konstantinos,Mavropanos,10
