assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,70833,0,0,0,1,0,0,0,-100,132,232,47,0,0,0,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.1
0,26,0,0,0,24,1,1,19,0,0,0,0,0,0,0,1.6,16.4,0,0,0,90,0,0,18,0,0,0,0,6,0,2,209355,0,0,0,1,0,0,6,12975,32881,19906,49,0,0,0,0,0,93,2385,31,0,650.2,0,5,489,64.8,6,0,0,3.6
0,57,0,0,3,30,1,8,55,0.3,0,0,0,1,0,0,2.5,24.4,0,0,0,90,0,0,18,0,0,0,0,5,0,0,48974,0,1,0,1,0,0,9,-4474,1264,5738,54,0,0,0,3,0,59,1048,13,16,386.2,99,8,264,50.1,3,0,1,0.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,285646,0,0,0,1,0,0,0,-934,36,970,53,0,0,0,0,5,60,1532,21,197.8,261.6,280,5,304,73.7,4,0,3,4.5
0,75,0,0,2,28,1,4,64,13.5,0,0,0,0,0,0,3.6,18.4,1,0,0,90,0,0,18,0,0,0,0,9,0,0,68097,0,0,0,1,0,4,8,5730,9462,3732,54,0,0,0,1,3,69,1590,19,157,373.4,175,6,340,70.6,5,0,4,1.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24852,0,0,0,1,0,0,0,-66,24,90,43,0,0,0,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.4
0,67,0,0,1,26,1,9,52,3,0,0,0,1,0,0,2.3,16.2,0,0,0,90,0,0,18,0,0,0,0,3,0,0,68088,1,2,1,1,0,4,7,2845,4543,1698,54,0,0,0,2,0,76,2251,32,73.2,633.8,201,5,437,91,6,0,7,1.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,425846,0,0,0,1,0,0,0,18025,69556,51531,50,0,0,0,0,7,77,1661,23,408,296.6,221,10,361,92.5,5,0,5,7
0,40,0,1,0,15,1,3,26,11.8,0,0,0,1,0,0,3.6,15.8,1,0,0,90,0,0,8,0,0,0,0,8,0,0,57616,2,0,1,0,2,8,6,-1318,510,1828,42,1,0,0,2,0,48,2226,47,162.1,545.2,343,0,362,105.3,3,0,7,0.9
0,48,0,0,0,13,0,7,46,0.9,0,0,0,0,0,0,1.8,14.8,0,0,0,58,0,0,18,0,0,0,0,3,0,0,6684,0,0,0,1,0,2,1,2,43,41,47,0,0,0,0,0,2,69,0,1,18.2,2,0,17,2.2,0,0,0,0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,51650,0,0,0,1,0,0,0,-180,120,300,45,0,0,0,0,0,11,769,16,45.6,96.4,19,0,68,16.3,0,0,2,0.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,74346,0,0,0,1,0,0,0,-4830,1306,6136,51,0,0,0,0,2,55,1928,26,64.3,432.4,83,3,359,58.2,5,0,10,1.1
0,22,0,0,0,3,0,0,20,28.3,0,0,0,1,0,0,6,6,2,0,0,45,1,1,18,0,0,0,0,2,0,0,168078,1,0,0,1,0,26,1,-5753,4389,10142,79,0,0,0,4,3,79,1462,17,591.8,352.8,218,9,315,116.4,5,0,1,2.7
0,65,0,0,0,14,1,1,59,31.9,0,0,0,2,0,0,8.5,14,2,0,0,67,0,1,18,0,0,0,0,3,0,0,90435,1,1,1,1,0,39,3,16409,25642,9233,71,0,0,0,4,6,91,1319,13,387.2,418.4,502,4,298,131,9,0,0,1.7
0,62,1,0,0,18,1,0,55,89.3,1,0,0,0,0,0,18.6,31.4,7,0,0,90,0,1,18,0,0,0,0,2,0,0,99400,4,0,0,1,0,65,3,-4660,2701,7361,54,0,0,0,3,6,84,1698,26,500.4,394.4,524,1,329,141.9,4,0,0,1.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,144788,0,0,0,1,0,0,0,-1067,953,2020,42,0,0,0,0,0,6,220,2,32.3,48.4,51,0,25,13.2,0,0,0,2.3
