name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Petr_Cech_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,340,0,0,0,0,18406,0,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,70833,0,0,0,1,0,0,0,-100,132,232,47,FALSE,0,0,Petr,Cech,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.1,47,Petr,Cech,1
Bernd_Leno_2,0,26,0,0,0,24,1,1,19,0,0,0,2,0,0,340,0,0,0,1.6,18407,16.4,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,90,0,0,18,0,0,0,0,6,0,34,2,209355,0,0,0,1,0,0,6,12975,32881,19906,49,FALSE,0,0,Bernd,Leno,0,0,93,2385,31,0,650.2,0,5,489,64.8,6,0,0,3.6,49,Bernd,Leno,2
Laurent_Koscielny_3,0,57,0,0,3,30,1,8,55,0.3,0,0,3,0,0,340,1,0,0,2.5,18408,24.4,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,90,0,0,18,0,0,0,0,5,0,34,0,48974,0,1,0,1,0,0,9,-4474,1264,5738,54,FALSE,0,0,Laurent,Koscielny,3,0,59,1048,13,16,386.2,99,8,264,50.1,3,0,1,0.9,54,Laurent,Koscielny,3
H�ctor_Beller�n_4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,340,0,0,0,0,18409,0,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,285646,0,0,0,1,0,0,0,-934,36,970,53,FALSE,0,0,Héctor,Bellerín,0,5,60,1532,21,197.8,261.6,280,5,304,73.7,4,0,3,4.5,53,Héctor,Bellerín,4
Nacho_Monreal_5,0,75,0,0,2,28,1,4,64,13.5,0,0,5,0,0,340,0,0,0,3.6,18410,18.4,1,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,90,0,0,18,0,0,0,0,9,0,34,0,68097,0,0,0,1,0,4,8,5730,9462,3732,54,FALSE,0,0,Nacho,Monreal,1,3,69,1590,19,157,373.4,175,6,340,70.6,5,0,4,1.3,54,Nacho,Monreal,5
Rob_Holding_6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,340,0,0,0,0,18411,0,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,24852,0,0,0,1,0,0,0,-66,24,90,43,FALSE,0,0,Rob,Holding,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.4,43,Rob,Holding,6
Shkodran_Mustafi_7,0,67,0,0,1,26,1,9,52,3,0,0,7,0,0,340,1,0,0,2.3,18412,16.2,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,90,0,0,18,0,0,0,0,3,0,34,0,68088,1,2,1,1,0,4,7,2845,4543,1698,54,FALSE,0,0,Shkodran,Mustafi,2,0,76,2251,32,73.2,633.8,201,5,437,91,6,0,7,1.2,54,Shkodran,Mustafi,7
Sead_Kolasinac_8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,340,0,0,0,0,18413,0,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,425846,0,0,0,1,0,0,0,18025,69556,51531,50,FALSE,0,0,Sead,Kolasinac,0,7,77,1661,23,408,296.6,221,10,361,92.5,5,0,5,7,50,Sead,Kolasinac,8
Calum_Chambers_9,0,40,0,1,0,15,1,3,26,11.8,0,0,9,0,0,334,1,0,0,3.6,18414,15.8,1,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,90,0,0,8,0,0,0,0,8,0,34,0,57616,2,0,1,0,2,8,6,-1318,510,1828,42,TRUE,0,0,Calum,Chambers,2,0,48,2226,47,162.1,545.2,343,0,362,105.3,3,0,7,0.9,42,Calum,Chambers,9
Konstantinos_Mavropanos_10,0,48,0,0,0,13,0,7,46,0.9,0,0,10,0,0,340,0,0,0,1.8,18415,14.8,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,58,0,0,18,0,0,0,0,3,0,34,0,6684,0,0,0,1,0,2,1,2,43,41,47,FALSE,0,0,Konstantinos,Mavropanos,0,0,2,69,0,1,18.2,2,0,17,2.2,0,0,0,0.1,47,Konstantinos,Mavropanos,10
