,assists,predF_pts_rf,predd_team_rf,first_name,second_name,,,,,,,,,,,,
370,-0.058823529,5.7719,0.467133333,Lucas,Rodrigues Moura da Silva,,,,,,,,,,,Mohamed,Salah
49,-0.058823529,5.023633333,0.3383,Shane,Duffy,,,,,,,,,,,Eden,Hazard
343,-0.117647059,5.360566667,0.3348,Nathan,Redmond,,,,,,,,,,,Lucas,Rodrigues Moura da Silva
87,-0.058823529,5.515233333,0.308866667,Chris,Wood,,,,,,,,,,,Chris,Wood
273,1.911764706,4.9578,0.3046,Kevin,De Bruyne,,,,,,,,,,,Nathan,Redmond
122,-0.352941176,6.451266667,0.280633333,Eden,Hazard,,,,,,,,,,,Paul,Pogba
253,-0.294117647,8.545566667,0.270033333,Mohamed,Salah,,,,,,,,,,,Shane,Duffy
302,-0.294117647,5.136166667,0.265233333,Paul,Pogba,,,,,,,,,,,Ayoze,Pérez
151,-0.235294118,4.686733333,0.261533333,Wilfried,Zaha,,,,,,,,,,,Kevin,De Bruyne
42,0.852941176,4.481,0.259233333,David,Brooks,,,,,,,,,,,Diogo,Jota
18,-0.117647059,4.291066667,0.255433333,Henrikh,Mkhitaryan,,,,,,,,,,,Pierre-Emerick,Aubameyang
432,-0.205882353,4.950066667,0.250766667,Diogo,Jota,,,,,,,,,,,Wilfried,Zaha
468,0,4.636533333,0.248272549,Alisson,Ramses Becker,,,,,,,,,,,Alisson,Ramses Becker
480,0.882352941,4.318733333,0.2458,Aleksandar,Mitrovic,,,,,,,,,,,Lukasz,Fabianski
326,-0.058823529,4.987666667,0.232366667,Ayoze,Pérez,,,,,,,,,,,,
423,0,4.5645,0.231666667,Willy,Boly,,,,,,,,,,,,
364,0.647058824,4.3784,0.2073,Christian,Eriksen,,,,,,,,,,,,
47,0,4.169933333,0.201272549,Mathew,Ryan,,,,,,,,,,,,
465,-0.147058824,4.457,0.192533333,Felipe Anderson,Pereira Gomes,,,,,,,,,,,,
62,0,3.704333333,0.189666667,Glenn,Murray,,,,,,,,,,,,
23,-0.205882353,4.700033333,0.185466667,Pierre-Emerick,Aubameyang,,,,,,,,,,,,
351,0,3.495433333,0.184966667,Hugo,Lloris,,,,,,,,,,,,
40,1.647058824,3.860766667,0.1842,Ryan,Fraser,,,,,,,,,,,,
437,-0.294117647,4.1114,0.183533333,Raúl,Jiménez,,,,,,,,,,,,
