assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,gw16_pts,dream_team
0.666666667,8,1,0,-0.133333333,-3.733333333,-0.6,0,7,7.006666667,0,0,0,0,-0.333333333,-0.466666667,0.566666667,-0.64,3,0,0,-56,1,0,4,0,0,0,0,1,0,0,2077373,3,0,0,3,1,-0.8,4,-46474,25877,72351,130,0,0,0,0.466666667,0.333333333,81,0.333333333,28.29333333,29.04,56.8,0.133333333,17.73333333,11.43333333,0.6,0,0,34.8,21,1
0,0,0,0,-0.4,-20.13333333,-0.466666667,0,0,-8.166666667,0,0,0,0,-0.733333333,0,-3.62,-20.68,0,0,0,-84,0,0,20,0,0,0,0,0,0,0,366008,0,0,0,1,2,-7.466666667,0,5137,14635,9498,56,0,0,-0.066666667,0,0,84,0.733333333,8.166666667,20.68,7.466666667,0.4,20.13333333,3.62,0.466666667,0,0.066666667,6.1,15,1
0,23,0,0,-0.066666667,2.466666667,-0.133333333,8,14,-0.873333333,0,0,0,0,1.2,-0.133333333,1.913333333,8.626666667,0,0,0,22.26666667,0,0,12,0,0,0,0,4,0,0,244156,0,2,0,3,1,11.46666667,1,-8689,164,8853,47,1,0,-0.2,0.133333333,0,67.73333333,1.8,1.073333333,27.17333333,7.533333333,0.066666667,12.53333333,3.586666667,0.133333333,0,0.2,4.1,14,1
-0.2,20,0,0,-0.066666667,0.733333333,-0.133333333,0,15,21.20666667,1,0,0,2,1.333333333,-0.133333333,2.526666667,0.253333333,2,0,0,45.33333333,0,0,1,0,0,0,0,1,-0.066666667,0,291210,1,1,0,2,2,4,2,4627,11751,7124,67,1,0,-0.133333333,0.133333333,0.2,44.66666667,0.666666667,11.39333333,11.54666667,12,0.066666667,7.266666667,3.473333333,0.133333333,0.066666667,0.133333333,5.1,14,1
-0.133333333,31,0,0,0.933333333,20.13333333,-0.266666667,1,25,18.42666667,0,0,0,0,0.666666667,0.866666667,8.793333333,29.70666667,2,0,0,52.06666667,0,0,16,0,0,0,0,6,0,0,166983,3,0,1,1,3,39.4,8,57213,61026,3813,83,1,0,0,0.133333333,0.133333333,37.93333333,0.333333333,7.573333333,9.893333333,18.6,0.066666667,7.866666667,3.606666667,0.266666667,0,0,3.1,14,1
-0.066666667,0,0,0,-0.133333333,-6.333333333,-0.066666667,0,0,-9.68,0,0,0,0,-0.6,-0.066666667,-2.173333333,-6.2,0,0,0,-36.06666667,0,0,1,0,0,0,0,0,0,0,65918,0,0,0,2,2,-5.8,0,-3102,819,3921,62,1,0,-0.066666667,0.066666667,0.066666667,36.06666667,0.6,9.68,6.2,5.8,0.133333333,6.333333333,2.173333333,0.066666667,0,0.066666667,1.1,13,1
-0.133333333,0,0,0,0,-9.8,-0.066666667,0,0,-13.40666667,0,0,0,0,-1.2,0,-2.653333333,-10.30666667,0,0,0,-60,0,0,1,0,0,0,0,0,0,0,67229,0,0,0,2,2,-2.8,0,-7792,380,8172,57,1,0,-0.333333333,0,0.133333333,60,1.2,13.40666667,10.30666667,2.8,0,9.8,2.653333333,0.066666667,0,0.333333333,1.1,12,1
-0.066666667,60,0,0,-0.6,-1.4,-0.2,3,44,17.60666667,2,0,0,1,-0.333333333,-0.333333333,0.853333333,-11.22666667,3,0,0,7.533333333,0,0,5,0,0,0,0,6,0,0,694223,1,1,0,1,3,2.266666667,2,279111,286094,6983,71,1,0,-0.2,0.333333333,0.066666667,82.46666667,1.333333333,29.69333333,26.02666667,19.73333333,0.6,17.4,7.546666667,0.2,0,0.2,12,12,1
-0.2,0,0,0,-0.866666667,-23.06666667,-0.6,0,0,-16.21333333,0,0,0,0,-0.266666667,0,-4.226666667,-17.53333333,0,0,0,-78,0,0,4,0,0,0,0,0,0,0,1907187,0,0,0,3,1,-8.4,0,-92037,26588,118625,65,0,0,0,0,0.2,78,0.266666667,16.21333333,17.53333333,8.4,0.866666667,23.06666667,4.226666667,0.6,0,0,31.7,11,1
-0.066666667,13,0,0,0.933333333,19.93333333,-0.266666667,0,12,-8.993333333,0,0,0,0,0.266666667,0.933333333,3.873333333,30.2,0,0,0,27.33333333,0,0,6,0,0,0,0,4,0,0,53071,2,0,0,1,2,17.93333333,8,-1369,117,1486,59,1,1,-0.2,0.066666667,0.066666667,59.66666667,0.733333333,11.19333333,7,17.06666667,0.066666667,6.066666667,3.526666667,0.266666667,0,0.2,0.9,11,1
