assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,0,0,0,-0.088235294,-3.823529412,-0.029411765,0,0,0,0,0,0,0,-0.264705882,0,-0.6,-6.029411765,0,0,0,-17.20588235,0,0,18,0,0,0,0,0,0,0,70833,0,0,0,1,0,0,0,-100,132,232,47,0,0,0,0,0,24,17.20588235,0.264705882,0,6.029411765,0,0.088235294,3.823529412,0.6,0.029411765,0,0,1.1
0,26,0,0,-0.147058824,9.617647059,0.823529412,1,19,0,0,0,0,0,-0.911764706,0,-0.305882353,-2.723529412,0,0,0,19.85294118,0,0,18,0,0,0,0,6,0,2,209355,0,0,0,1,0,0,6,12975,32881,19906,49,0,0,0,0,0,93,70.14705882,0.911764706,0,19.12352941,0,0.147058824,14.38235294,1.905882353,0.176470588,0,0,3.6
0,57,0,0,2.764705882,22.23529412,0.911764706,8,55,-0.170588235,0,0,0,1,-0.382352941,-3,1.026470588,13.04117647,0,0,0,59.17647059,0,0,18,0,0,0,0,5,0,0,48974,0,1,0,1,0,-2.911764706,9,-4474,1264,5738,54,0,0,-0.029411765,3,0,59,30.82352941,0.382352941,0.470588235,11.35882353,2.911764706,0.235294118,7.764705882,1.473529412,0.088235294,0,0.029411765,0.9
-0.147058824,0,0,0,-0.147058824,-8.941176471,-0.117647059,0,0,-5.817647059,0,0,0,0,-0.617647059,0,-2.167647059,-7.694117647,0,0,0,-45.05882353,0,0,18,0,0,0,0,0,0,0,285646,0,0,0,1,0,-8.235294118,0,-934,36,970,53,0,0,-0.088235294,0,0.147058824,60,45.05882353,0.617647059,5.817647059,7.694117647,8.235294118,0.147058824,8.941176471,2.167647059,0.117647059,0,0.088235294,4.5
-0.088235294,75,0,0,1.823529412,18,0.852941176,4,64,8.882352941,0,0,0,0,-0.558823529,-1,1.523529412,7.417647059,1,0,0,43.23529412,0,0,18,0,0,0,0,9,0,0,68097,0,0,0,1,0,-1.147058824,8,5730,9462,3732,54,0,0,-0.117647059,1,0.088235294,69,46.76470588,0.558823529,4.617647059,10.98235294,5.147058824,0.176470588,10,2.076470588,0.147058824,0,0.117647059,1.3
0,0,0,0,-0.147058824,-4.352941176,-0.029411765,0,0,-0.844117647,0,0,0,0,-0.294117647,0,-0.682352941,-5.523529412,0,0,0,-23.70588235,0,0,18,0,0,0,0,0,0,0,24852,0,0,0,1,0,-0.411764706,0,-66,24,90,43,0,0,-0.029411765,0,0,24,23.70588235,0.294117647,0.844117647,5.523529412,0.411764706,0.147058824,4.352941176,0.682352941,0.029411765,0,0.029411765,0.4
0,67,0,0,0.852941176,13.14705882,0.823529412,9,52,0.847058824,0,0,0,1,-0.941176471,-2,-0.376470588,-2.441176471,0,0,0,23.79411765,0,0,18,0,0,0,0,3,0,0,68088,1,2,1,1,0,-1.911764706,7,2845,4543,1698,54,0,0,-0.205882353,2,0,76,66.20588235,0.941176471,2.152941176,18.64117647,5.911764706,0.147058824,12.85294118,2.676470588,0.176470588,0,0.205882353,1.2
-0.205882353,0,0,0,-0.294117647,-10.61764706,-0.147058824,0,0,-12,0,0,0,0,-0.676470588,0,-2.720588235,-8.723529412,0,0,0,-48.85294118,0,0,18,0,0,0,0,0,0,0,425846,0,0,0,1,0,-6.5,0,18025,69556,51531,50,0,0,-0.147058824,0,0.205882353,77,48.85294118,0.676470588,12,8.723529412,6.5,0.294117647,10.61764706,2.720588235,0.147058824,0,0.147058824,7
0,40,0,1,0,4.352941176,0.911764706,3,26,7.032352941,0,0,0,1,-1.382352941,-2,0.502941176,-0.235294118,1,0,0,24.52941176,0,0,8,0,0,0,0,8,0,0,57616,2,0,1,0,2,-2.088235294,6,-1318,510,1828,42,1,0,-0.205882353,2,0,48,65.47058824,1.382352941,4.767647059,16.03529412,10.08823529,0,10.64705882,3.097058824,0.088235294,0,0.205882353,0.9
0,48,0,0,0,12.5,0,7,46,0.870588235,0,0,0,0,0,0,1.735294118,14.26470588,0,0,0,55.97058824,0,0,18,0,0,0,0,3,0,0,6684,0,0,0,1,0,1.941176471,1,2,43,41,47,0,0,0,0,0,2,2.029411765,0,0.029411765,0.535294118,0.058823529,0,0.5,0.064705882,0,0,0,0.1
